X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2018/09/27 19:48:03+00,22.48,22.05,18.33,15.5,10.25,11.44,13.81,88,59,1002.78,Chapel Hill Public Library,outside,35.932522,-79.035728,3060,-84,,1,1
-79.035728,35.932522,2018/09/27 19:59:52+00,23,22.47,19.2,16.24,10.46,11.49,13.82,88,58,1003.02,Chapel Hill Public Library,outside,35.932522,-79.035728,3770,-84,,0,2
-79.035728,35.932522,2018/10/02 14:43:38+00,9.32,10.53,13.64,15.65,18.14,14.53,12.89,86,55,1011.93,Chapel Hill Public Library,outside,35.932522,-79.035728,7123,-92,,0,3
-79.035728,35.932522,2018/10/02 14:43:38+00,9.32,10.53,13.64,15.65,18.14,14.53,12.89,86,55,1011.93,Chapel Hill Public Library,outside,35.932522,-79.035728,7123,-92,,0,4
-79.035728,35.932522,2018/10/02 14:59:23+00,8,9.25,12.58,14.91,17.97,14.51,12.89,86,54,1011.81,Chapel Hill Public Library,outside,35.932522,-79.035728,100,-86,,0,5
-79.035728,35.932522,2018/10/02 15:42:26+00,11.27,9.49,11.08,13.46,17.56,14.44,12.88,88,48,1010.74,Chapel Hill Public Library,outside,35.932522,-79.035728,580,-82,,1,6
-79.035728,35.932522,2018/10/02 15:59:21+00,12.13,10.57,11.13,13.15,17.4,14.42,12.88,91,46,1011.18,Chapel Hill Public Library,outside,35.932522,-79.035728,1590,-84,,0,7
-79.035728,35.932522,2018/10/02 16:42:57+00,13.56,12.18,11.61,12.59,16.93,14.36,12.88,89,44,1010.34,Chapel Hill Public Library,outside,35.932522,-79.035728,4210,-92,,1,8
-79.035728,35.932522,2018/10/02 16:59:25+00,13.06,12.65,11.97,12.63,16.82,14.35,12.88,91,41,1010.25,Chapel Hill Public Library,outside,35.932522,-79.035728,5200,-79,,0,9
-79.035728,35.932522,2018/10/02 17:42:34+00,12.42,12.46,12.25,12.58,16.53,14.32,12.88,93,39,1009.67,Chapel Hill Public Library,outside,35.932522,-79.035728,7790,-82,,1,10
